player,FGM,FGA,FTM,FTA,TPM,REB,AST,STL,BLK,PTS,TO
Al-Farouq Aminu,3.239985,8.26,0.8599958,1.18,1.66,7.51,1.45,1.16,0.62,9.01,1.2
Patrick Beverley,3.8399882,9.14,1.0800036,1.41,1.76,4.23,2.88,1.44,0.35,10.51,1.63
Luka Doncic,4.0700232,9.63,2.689995,3.3,1.54,5.47,3.37,1.02,0.3,12.36,1.75
Kelly Olynyk,4.220034,8.85,1.8099927,2.37,1.45,5.77,2.96,0.8,0.48,11.71,1.97
Marvin Williams,3.4500024,8.06,1.4400012,1.72,1.68,5.62,1.31,0.79,0.51,10.01,0.83
Harrison Barnes,6.6699885,14.91,2.7899872,3.38,1.51,5.29,2.02,0.7,0.16,17.64,1.5
Carmelo Anthony,5.340032,12.8,1.9399908,2.36,2.39,5.6,1.34,0.57,0.43,15.01,1.22
Rondae Hollis-Jefferson,4.4999774,9.74,3.3200064,4.32,0.26,6.6,2.41,1.05,0.69,12.59,1.8
Jaren Jackson Jr.,3.2100344,7.18,1.8400018,2.38,0.97,5.38,1.08,0.52,1.47,9.24,1.31
Brandon Ingram,6.1999602,13.62,3.029995,4.3,1.44,5.53,2.54,0.79,0.76,16.87,2.08
Lonzo Ball,3.3500402,8.71,0.5899952,1.09,1.55,5.33,4.55,1.43,0.59,8.85,1.86
Rudy Gay,4.8699954,10.42,2.359991,2.9,0.83,5.2,1.42,0.87,0.63,12.94,1.6
E'Twaun Moore,4.859988,9.87,0.649998,0.9,1.44,2.8,2.27,0.92,0.25,11.81,1.16
Willie Cauley-Stein,4.8100275,9.39,1.8800124,2.94,0.03,6.17,1.55,1.03,0.85,11.53,1.33
James Johnson,4.079999,8.47,1.5599894,2.27,0.83,4.77,3.64,0.96,0.74,10.56,2.02
Spencer Dinwiddie,3.5300142,9.29,2.3599872,2.88,1.67,3.04,5.76,0.89,0.3,11.08,1.41
Montrezl Harrell,4.6499775,7.35,1.7999982,2.86,0.01,4.75,1.07,0.53,0.78,11.11,0.94
Cody Zeller,3.399984,6.3,2.4699882,3.31,0.03,6.29,1.29,0.65,0.85,9.3,1.02
George Hill,4.3100378,9.53,2.1900006,2.78,1.48,2.91,3.66,0.91,0.29,12.29,1.52
Jordan Bell,2.4300094,4.13,0.7399966,1.06,0.02,4.5,1.75,0.73,1.2,5.63,1.05
Andrew Wiggins,6.7000365,15.39,2.6199936,3.61,1.53,4.16,1.94,1.04,0.6,17.54,1.69
Danny Green,3.1400105,7.81,0.7200011,0.89,1.82,3.36,1.58,0.94,0.9,8.83,1.06
Malcolm Brogdon,4.4000424,9.36,1.4400072,1.63,1.26,3.05,2.79,0.84,0.23,11.5,1.3
DeMarre Carroll,4.290049,10.33,2.140008,2.85,1.89,6.06,2.07,0.83,0.41,12.6,1.36
Eric Gordon,5.4300176,12.92,2.2999976,2.83,3.14,2.36,2.08,0.64,0.34,16.3,1.74
Jakob Poeltl,3.65,5.84,1.1399985,1.83,0,5.37,0.88,0.48,1.19,8.44,1.21
Jonathan Isaac,2.8900277,6.79,1.2000048,1.59,0.71,4.32,0.85,1.17,1.23,7.69,1.23
Kentavious Caldwell-Pope,3.9399913,9.37,1.7499925,2.23,1.95,4.04,1.58,1.16,0.17,11.57,1.09
Dario Saric,4.3699944,9.93,2.0900124,2.52,1.67,6.1,2.37,0.65,0.27,12.5,1.8
Moe Harkless,3.439985,7.06,0.9400072,1.48,0.91,3.59,1.11,0.99,0.85,8.73,0.85
Nerlens Noel,2.0599881,3.93,0.78,1.04,0,6.28,0.74,1.16,0.82,4.9,0.97
Dwight Howard,5.2599786,9.14,3.449976,6.45,0.01,11.77,1.3,0.77,1.42,13.97,2.4
Elfrid Payton,4.1500117,8.83,1.3800004,2.14,0.46,3.97,6.01,1.29,0.35,10.14,2.25
Julius Randle,5.560018,10.6,3.2600084,4.51,0.17,7.97,2.7,0.58,0.5,14.56,2.51
Dennis Schroder,5.4399774,12.22,2.0900064,2.49,1.12,2.9,4.28,1.03,0.13,14.09,1.99
Goran Dragic,6.1999525,13.85,2.5299944,3.23,1.34,3.74,4.63,0.77,0.15,16.26,2.2
Bogdan Bogdanovic,4.7399562,10.98,1.510002,1.8,1.88,2.75,3.24,0.92,0.18,12.89,1.59
Pau Gasol,3.4300002,7.33,1.7700078,2.33,0.59,7.2,2.26,0.26,0.9,9.22,1.28
Wendell Carter Jr.,2.8599865,5.95,1.1099952,1.52,0.34,6.73,1.25,0.5,1.25,7.15,1.32
Andre Roberson,2.3599968,4.64,0.459998,1.03,0.42,4.9,1.08,1.23,0.89,5.6,0.82
JaMychal Green,4.0200341,8.59,1.7900109,2.43,0.85,7.71,1.3,0.61,0.52,10.68,1.38
Rodney Hood,5.6699819,13.49,2.2500114,2.73,2.16,3.15,1.93,0.77,0.19,15.74,1.31
Jae Crowder,4.0600364,9.56,1.6599919,2.03,1.76,3.67,1.46,0.94,0.26,11.54,1.01
Alex Len,3.2699887,5.83,2.079986,2.95,0.02,7,0.88,0.44,0.99,8.63,1.17
Reggie Jackson,5.8300164,13.88,2.6000086,3.02,1.57,3.28,5.34,0.7,0.11,15.83,2.39
Markelle Fultz,4.699947,11.06,1.4799946,2.27,1.17,3.49,4.7,1.05,0.44,12.04,1.57
D'Angelo Russell,5.8599412,14.12,2.0500116,2.73,2.11,3.89,5.42,0.89,0.3,15.88,2.94
Tyler Johnson,3.9799656,9.36,1.2900076,1.64,1.61,3.27,2.22,0.84,0.46,10.86,1.11
Dejounte Murray,3.87996,8.68,1.540008,2.19,0.27,5.48,3.86,1.35,0.46,9.57,2.05
Mohamed Bamba,3.0700116,6.39,1.009995,1.5,0.24,6.25,0.47,0.5,1.44,7.38,1.11
Wayne Ellington,3.6999936,9.09,0.8700039,1.01,2.94,2.82,1.02,0.68,0.11,11.22,0.66
Bojan Bogdanovic,4.610046,10.07,2.1,2.4,1.79,3.32,1.41,0.61,0.09,13.09,1.24
Rajon Rondo,3.4900184,7.48,0.3700016,0.68,0.75,3.96,6.63,1.05,0.15,8.13,2.26
Kelly Oubre Jr.,3.6700129,8.83,1.9299896,2.38,1.66,4.08,1.07,0.99,0.35,10.92,1.07
Kyle Kuzma,5.21001,11.7,1.6699968,2.37,1.87,5.54,1.46,0.56,0.41,13.95,1.54
Bobby Portis,4.4200156,9.31,1.3500001,1.79,0.98,5.98,1.48,0.57,0.31,11.17,1.2
Markieff Morris,3.970032,8.8,1.4899952,1.84,1.01,5.27,1.68,0.88,0.44,10.46,1.66
P.J. Tucker,2.3699834,6.01,0.5000009,0.67,1.59,5.72,1.06,1.1,0.28,6.84,0.89
Reggie Bullock,3.8200184,8.36,0.6199999,0.79,1.88,2.33,1.41,0.78,0.19,10.15,0.71
Dennis Smith Jr.,5.9599855,14.35,2.130006,3.02,1.43,3.71,5.86,1.23,0.24,15.46,2.76
Luke Kennard,3.6500208,8.49,1.4099989,1.63,1.7,3.17,2.13,0.76,0.22,10.4,1.12
Mitchell Robinson,3.2899932,6.57,0.759996,1.35,0,6.32,0.42,0.59,1.43,7.33,1.18
Trae Young,4.91998,12.7,2.9499916,3.58,2.37,2.53,6.15,1.11,0.14,15.16,3.36
Avery Bradley,5.3900154,12.18,1.2900082,1.67,1.42,3.22,1.88,1.08,0.18,13.49,1.48
Pascal Siakam,3.3199954,6.41,0.8299995,1.21,0.51,4.55,1.48,0.65,0.6,7.97,0.88
Kyle Korver,3.0399876,6.63,0.8700048,0.98,2.24,2.22,1.2,0.42,0.36,9.2,0.75
